CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade SUS por Município e Ano/mês compet.
Leitos cirúrgicos: Cirurgia geral
Período:Mar/2020-Abr/2021
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr"
"210520 Igarapé Grande";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"210530 Imperatriz";82;75;75;75;75;75;75;75;75;75;75;86;56;56
"210535 Itaipava do Grajaú";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"210540 Itapecuru Mirim";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"210542 Itinga do Maranhão";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"210545 Jatobá";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"210547 Jenipapo dos Vieiras";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"210550 João Lisboa";16;16;16;16;16;16;16;16;16;16;16;16;16;16
"210560 Joselândia";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"210570 Lago da Pedra";19;19;19;19;19;19;19;19;19;19;41;41;41;41
"210580 Lago do Junco";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"210590 Lago Verde";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"210596 Lagoa Grande do Maranhão";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"210600 Lima Campos";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"210610 Loreto";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"210630 Magalhães de Almeida";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"210640 Mata Roma";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"210650 Matinha";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"210660 Matões";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"210667 Milagres do Maranhão";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"210670 Mirador";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"210675 Miranda do Norte";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"210680 Mirinzal";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"210690 Monção";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"210710 Morros";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"210730 Nova Iorque";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"210735 Nova Olinda do Maranhão";3;3;3;3;-;-;-;-;-;-;3;3;3;3
"210740 Olho d'Água das Cunhãs";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"210745 Olinda Nova do Maranhão";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"210760 Palmeirândia";7;7;3;3;3;3;3;3;3;3;3;3;3;3
"210770 Paraibano";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"210780 Parnarama";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"210790 Passagem Franca";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"210800 Pastos Bons";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"210805 Paulino Neves";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"210810 Paulo Ramos";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"210820 Pedreiras";14;14;14;14;14;14;14;14;14;14;14;14;14;14
"210825 Pedro do Rosário";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"210830 Penalva";16;16;16;16;16;16;16;16;16;16;16;16;16;16
"210840 Peri Mirim";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"210845 Peritoró";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"210850 Pindaré-Mirim";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"210860 Pinheiro";48;48;48;48;48;48;48;48;48;48;48;48;48;48
"210870 Pio XII";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"210880 Pirapemas";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"210890 Poção de Pedras";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"210900 Porto Franco";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"210910 Presidente Dutra";38;34;34;34;34;34;34;34;34;34;34;34;34;34
"210927 Presidente Sarney";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"210940 Primeira Cruz";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"210950 Riachão";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"210960 Rosário";19;19;19;19;19;19;19;19;19;19;19;19;19;19
"210980 Santa Helena";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"210990 Santa Inês";53;53;53;53;53;53;53;53;53;53;53;53;53;53
"211000 Santa Luzia";8;9;9;9;9;9;9;9;9;9;9;9;9;9
"211003 Santa Luzia do Paruá";13;13;13;13;13;13;13;13;13;13;33;33;33;33
"211010 Santa Quitéria do Maranhão";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"211020 Santa Rita";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"211023 Santana do Maranhão";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"211027 Santo Amaro do Maranhão";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"211030 Santo Antônio dos Lopes";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"211040 São Benedito do Rio Preto";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"211050 São Bento";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"211060 São Bernardo";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"211065 São Domingos do Azeitão";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"211070 São Domingos do Maranhão";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"211080 São Félix de Balsas";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"211085 São Francisco do Brejão";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"211090 São Francisco do Maranhão";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"211100 São João Batista";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"211102 São João do Carú";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"211105 São João do Paraíso";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"211107 São João do Soter";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"211110 São João dos Patos";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"211120 São José de Ribamar";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"211125 São José dos Basílios";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"211130 São Luís";328;316;332;332;332;332;333;333;333;333;381;331;331;331
"211140 São Luís Gonzaga do Maranhão";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"211153 São Pedro da Água Branca";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"211157 São Pedro dos Crentes";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"211160 São Raimundo das Mangabeiras";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"211170 São Vicente Ferrer";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"211172 Satubinha";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"211174 Senador Alexandre Costa";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"211178 Serrano do Maranhão";-;-;-;-;-;-;-;-;-;2;2;2;2;2
"211180 Sítio Novo";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"211190 Sucupira do Norte";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"211195 Sucupira do Riachão";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"211200 Tasso Fragoso";4;4;4;4;4;4;4;4;4;4;4;4;4;1
"211210 Timbiras";14;14;14;14;14;14;14;14;14;14;14;14;14;14
"211220 Timon";20;20;20;20;20;20;20;20;20;20;20;20;20;20
"211223 Trizidela do Vale";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"211227 Tufilândia";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"211230 Tuntum";13;13;13;13;13;13;13;13;13;13;13;13;13;13
"211240 Turiaçu";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"211250 Tutóia";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"211260 Urbano Santos";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"211270 Vargem Grande";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"211280 Viana";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"211290 Vitória do Mearim";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"211300 Vitorino Freire";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"211400 Zé Doca";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"220020 Água Branca";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"220040 Altos";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"220050 Amarante";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"220110 Avelino Lopes";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"220115 Baixa Grande do Ribeiro";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"220120 Barras";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"220140 Barro Duro";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"220190 Bom Jesus";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"220220 Campo Maior";42;42;42;42;42;42;42;42;42;42;42;42;42;42
"220230 Canto do Buriti";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"220260 Castelo do Piauí";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"220277 Colônia do Piauí";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"220290 Corrente";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"220300 Cristalândia do Piauí";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"220320 Curimatá";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"220330 Demerval Lobão";6;6;6;6;6;6;6;11;11;11;11;11;11;11
"220350 Elesbão Veloso";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"220370 Esperantina";14;14;14;14;14;14;14;14;14;14;14;14;14;5
"220390 Floriano";13;13;13;13;13;13;13;13;13;13;13;13;13;13
"220430 Fronteiras";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"220450 Guadalupe";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"220490 Isaías Coelho";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"220500 Itainópolis";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"220510 Itaueira";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"220520 Jaicós";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"220540 Joaquim Pires";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"220580 Luzilândia";14;14;14;14;14;14;14;14;14;14;14;14;14;14
"220590 Manoel Emídio";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"220595 Marcolândia";8;8;8;6;6;6;6;6;6;6;6;6;6;6
"220610 Matias Olímpio";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"220650 Monsenhor Hipólito";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"220660 Monte Alegre do Piauí";5;5;5;5;5;5;5;5;-;-;-;-;5;5
"220700 Oeiras";23;23;27;27;27;27;27;27;27;27;27;27;27;27
"220720 Padre Marcos";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"220770 Parnaíba";71;71;71;71;71;71;71;71;71;71;71;71;71;71
"220780 Paulistana";13;13;13;13;13;13;14;14;14;14;14;14;14;14
"220790 Pedro II";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"220800 Picos";48;48;48;48;48;48;48;48;48;48;48;48;48;54
"220810 Pimenteiras";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"220820 Pio IX";4;4;4;-;-;-;-;4;4;4;4;4;4;4
"220830 Piracuruca";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"220840 Piripiri";21;21;21;21;21;21;21;21;21;21;21;21;21;21
"220870 Redenção do Gurguéia";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"220880 Regeneração";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"220910 Santa Cruz do Piauí";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"220920 Santa Filomena";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"221000 São João do Piauí";15;15;-;-;-;-;-;-;-;-;-;-;-;-
"221030 São Julião";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"221040 São Miguel do Tapuio";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"221050 São Pedro do Piauí";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"221060 São Raimundo Nonato";59;59;59;59;59;59;59;59;59;59;59;59;59;59
"221070 Simões";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"221080 Simplício Mendes";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"221090 Socorro do Piauí";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"221100 Teresina";256;256;256;256;257;257;257;256;265;265;264;264;264;264
"221120 Uruçuí";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"221130 Valença do Piauí";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"221170 Wall Ferraz";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"230020 Acaraú";9;9;3;3;3;3;3;3;3;3;3;3;9;9
"230030 Acopiara";24;24;24;24;24;24;24;24;24;24;24;24;24;24
"230070 Alto Santo";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"230075 Amontada";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230100 Aquiraz";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"230110 Aracati";7;7;7;7;7;7;7;7;7;7;7;7;11;11
"230120 Aracoiaba";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"230125 Ararendá";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"230130 Araripe";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"230170 Aurora";22;22;22;22;22;22;22;22;22;22;22;22;22;22
"230190 Barbalha";20;20;20;20;20;20;20;20;20;20;20;20;20;20
"230210 Baturité";2;2;2;2;2;2;2;-;-;-;2;2;2;2
"230220 Beberibe";5;6;6;6;6;6;6;6;6;6;6;6;6;-
"230230 Bela Cruz";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230240 Boa Viagem";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"230250 Brejo Santo";29;29;29;29;29;29;29;29;29;29;29;29;29;29
"230260 Camocim";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230270 Campos Sales";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"230280 Canindé";17;17;17;17;17;17;17;17;17;17;17;17;17;17
"230320 Caririaçu";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"230350 Cascavel";9;9;9;9;9;9;9;9;9;9;9;1;1;1
"230360 Catarina";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"230370 Caucaia";24;24;8;8;8;8;8;26;26;26;26;26;26;26
"230380 Cedro";7;6;6;6;6;6;6;6;6;6;6;6;6;6
"230390 Chaval";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230410 Crateús";22;22;22;22;7;7;7;7;7;7;7;7;7;7
"230420 Crato";31;31;31;31;31;31;31;31;31;31;31;31;31;61
"230423 Croatá";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"230425 Cruz";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230428 Eusébio";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"230430 Farias Brito";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230440 Fortaleza";397;403;393;393;393;505;506;603;491;491;497;403;369;369
"230470 Granja";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"230480 Granjeiro";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"230500 Guaraciaba do Norte";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"230520 Hidrolândia";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"230523 Horizonte";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"230530 Ibiapina";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230540 Icó";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"230550 Iguatu";36;36;31;20;31;31;31;31;31;31;31;31;31;31
"230580 Ipu";8;8;8;8;8;8;8;8;8;8;8;8;9;9
"230590 Ipueiras";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"230600 Iracema";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"230610 Irauçuba";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"230630 Itapagé";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"230640 Itapipoca";28;28;28;28;28;28;28;28;28;28;28;28;28;28
"230655 Itarema";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230670 Jaguaretama";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230680 Jaguaribara";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"230690 Jaguaribe";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230710 Jardim";6;6;6;6;6;6;6;6;2;6;6;6;6;6
"230720 Jati";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"230725 Jijoca de Jericoacoara";8;8;8;8;8;4;4;4;4;4;4;2;2;2
"230730 Juazeiro do Norte";85;85;56;56;56;56;56;111;111;111;111;111;61;61
"230740 Jucás";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"230750 Lavras da Mangabeira";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"230760 Limoeiro do Norte";50;50;35;35;35;35;35;35;35;35;42;42;42;42
"230765 Maracanaú";62;62;62;62;62;62;62;62;62;73;73;73;60;60
"230770 Maranguape";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"230780 Marco";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"230800 Massapê";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"230810 Mauriti";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"230830 Milagres";9;7;10;10;10;10;10;10;10;10;10;10;10;10
"230840 Missão Velha";12;12;-;-;-;12;12;12;12;12;12;12;12;12
"230850 Mombaça";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"230860 Monsenhor Tabosa";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"230870 Morada Nova";25;25;25;25;25;25;25;28;28;28;28;28;28;28
"230900 Mucambo";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"230930 Nova Russas";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"230950 Orós";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"230960 Pacajus";2;-;-;-;-;-;-;-;-;-;-;-;-;-
"231020 Paracuru";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"231030 Parambu";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"231050 Pedra Branca";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"231070 Pentecoste";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"231080 Pereiro";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"231100 Poranga";2;2;2;-;-;-;-;-;-;-;-;-;-;-
"231130 Quixadá";14;14;14;14;14;14;14;14;14;14;14;14;14;14
"231135 Quixelô";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"231140 Quixeramobim";39;39;27;27;27;27;27;39;39;39;39;25;18;18
"231160 Redenção";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"231180 Russas";22;15;15;15;15;15;15;15;15;15;15;15;14;14
"231190 Saboeiro";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"231220 Santa Quitéria";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"231200 Santana do Acaraú";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"231240 São Gonçalo do Amarante";10;10;10;10;10;10;10;10;10;10;10;5;5;5
"231290 Sobral";138;123;94;107;107;107;107;123;123;123;123;128;123;123
"231300 Solonópole";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"231310 Tabuleiro do Norte";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"231320 Tamboril";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"231330 Tauá";23;23;23;23;23;23;23;23;23;23;23;23;23;23
"231340 Tianguá";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"231400 Várzea Alegre";10;10;5;4;10;5;5;5;5;5;5;5;5;5
"231410 Viçosa do Ceará";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"240010 Acari";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"240020 Açu";15;15;15;15;15;15;15;12;12;12;12;12;12;12
"240050 Alexandria";47;47;47;47;47;47;47;47;47;47;47;47;47;47
"240060 Almino Afonso";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"240080 Angicos";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"240090 Antônio Martins";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"240100 Apodi";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"240120 Arês";4;4;4;4;4;4;4;4;4;-;-;-;-;-
"240200 Caicó";50;50;50;50;50;50;50;50;50;50;50;50;50;50
"240230 Caraúbas";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"240240 Carnaúba dos Dantas";3;3;6;6;6;6;6;6;6;6;6;6;6;3
"240260 Ceará-Mirim";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"240270 Cerro Corá";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"240310 Currais Novos";26;26;26;26;26;26;26;26;26;26;26;26;26;26
"240400 Frutuoso Gomes";4;4;4;4;4;4;1;1;1;1;1;1;1;1
"240450 Guamaré";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"240560 Jardim de Piranhas";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"240570 Jardim do Seridó";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"240580 João Câmara";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"240600 José da Penha";2;2;2;2;2;-;-;-;-;-;-;-;-;-
"240610 Jucurutu";14;14;14;14;14;14;14;14;14;14;14;14;14;14
"240650 Lagoa Nova";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"240670 Lajes";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"240710 Macaíba";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"240720 Macau";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"240800 Mossoró";65;65;65;65;65;65;65;65;56;52;52;52;52;52
"240810 Natal";214;214;214;214;215;215;215;225;272;272;272;262;253;253
"240830 Nova Cruz";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"240890 Parelhas";19;19;19;19;19;19;19;19;19;19;19;19;19;19
"240325 Parnamirim";28;28;28;28;28;28;28;28;28;28;28;28;21;21
"240910 Passa e Fica";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"240930 Patu";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"240940 Pau dos Ferros";27;27;27;27;27;27;27;27;36;37;37;34;34;34
"241020 Portalegre";16;16;16;16;16;16;16;16;16;16;16;16;16;16
"241060 Rafael Godeiro";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"241110 Ruy Barbosa";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"241120 Santa Cruz";18;1;1;1;1;1;1;1;1;1;1;1;1;1
"241140 Santana do Matos";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"241150 Santo Antônio";11;11;11;11;11;11;11;11;11;11;11;11;11;11
"241200 São Gonçalo do Amarante";14;14;7;7;7;7;10;10;10;10;10;-;1;1
"241250 São Miguel";7;6;6;6;6;6;6;6;6;6;6;6;6;6
"241260 São Paulo do Potengi";7;7;7;7;14;13;13;13;13;13;13;13;13;13
"241290 São Tomé";2;2;2;2;2;2;2;2;2;2;2;2;2;-
"241360 Severiano Melo";-;-;-;-;-;3;3;3;3;3;3;3;3;3
"241410 Tenente Ananias";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"241420 Tibau do Sul";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"241440 Touros";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"241490 Viçosa";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"241500 Vila Flor";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"250030 Alagoa Grande";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"250040 Alagoa Nova";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"250060 Alhandra";8;-;-;-;-;-;-;-;-;-;-;-;-;-
"250110 Areia";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"250150 Bananeiras";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"250180 Bayeux";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"250190 Belém";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"250200 Belém do Brejo do Cruz";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"250230 Bom Sucesso";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"250240 Bonito de Santa Fé";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"250290 Brejo dos Santos";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"250300 Caaporã";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"250320 Cabedelo";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"250350 Cacimba de Dentro";1;1;-;-;-;-;-;-;-;-;-;-;-;-
"250370 Cajazeiras";55;47;42;42;42;52;52;52;52;52;52;52;52;52
"250400 Campina Grande";100;107;107;107;107;107;107;107;107;107;107;115;115;115
"250430 Catolé do Rocha";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"250440 Conceição";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"250480 Coremas";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"250510 Cuité";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"250570 Dona Inês";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"250600 Esperança";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"250620 Frei Martinho";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"250630 Guarabira";44;44;44;44;44;44;44;44;44;44;44;44;44;44
"250690 Itabaiana";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"250700 Itaporanga";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"250710 Itapororoca";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"250740 Jericó";2;-;-;-;-;-;-;-;-;-;-;-;-;-
"250750 João Pessoa";185;181;181;176;173;173;173;182;188;195;195;195;195;195
"250780 Junco do Seridó";-;-;-;-;-;-;-;-;-;-;2;2;2;2
"250830 Lagoa Seca";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"250840 Lastro";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"250890 Mamanguape";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"250920 Massaranduba";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"250970 Monteiro";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"251080 Patos";34;34;34;34;34;34;34;34;34;34;34;34;34;34
"251090 Paulista";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"251110 Pedra Lavrada";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"251120 Pedras de Fogo";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"251130 Piancó";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"251140 Picuí";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"251210 Pombal";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"251230 Princesa Isabel";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"251250 Queimadas";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"251340 Santa Luzia";13;13;13;13;13;13;13;13;13;13;13;13;13;13
